EVENTO;ELEMENTO UBICADO;CODIGO ELEMENTO RESPONSABLE;DESCRIPCION ELEMENTO RESPONSABLE;CODIGO AMBITO;DESCRIPCION AMBITO;CODIGO CONDICION;DESCRIPCION CONDICION;OBSERVACIONES
B1830653;;A01;ACOMETIDA;6;Cliente AÇreo;25;DESPRENDIDO;
B1830654;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830655;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830656;;D02;DOMICILIO;6;Cliente AÇreo;69;OTRA FALLA;
B1830657;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830658;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830659;;T20;TRANSF. DISTRIBUCION AEREO;3;Transformador MT/BT;85;REVISION;
B1830660;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
B1830661;;D02;DOMICILIO;6;Cliente AÇreo;2;NO SE UBICA;
B1830662;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;21;DESAPARECIDO-A;
B1830663;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830664;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830666;;M01;MEDIDOR;6;Cliente AÇreo;85;REVISION;
B1830667;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830668;;I01;IND. O EDIFICIO;7;Cliente Subterr†neo;85;REVISION;
B1830669;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830670;;D02;DOMICILIO;7;Cliente Subterr†neo;85;REVISION;
B1830671;;U02;UNION DESARMABLE MT;2;Red MT Subterr†nea;15;CONEXI‡N SUELTA;
B1830672;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830674;;M01;MEDIDOR;6;Cliente AÇreo;92;SUELTO-A;
B1830675;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
B1830676;;L02;LINEA DE DISTRIBUCION;4;Red BT AÇrea;17;CORTO-CIRCUITO;
B1830677;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;85;REVISION;
B1830678;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830679;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;54;MAL ESTADO;
B1830680;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830681;;P25;PROTECC EMP. 220V;7;Cliente Subterr†neo;40;FALLADO-A;
B1830682;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830683;;P25;PROTECC EMP. 220V;7;Cliente Subterr†neo;40;FALLADO-A;
B1830684;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830685;NUMPOS: 77853;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830686;;T15;TRANSF. DISTRIBUCION SUBT;3;Transformador MT/BT;85;REVISION;
B1830687;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830688;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830689;NUMPOS: 28966;P29;PROTECC T/D EN BT;3;Transformador MT/BT;66;NORMALIZACION;
B1830690;;L09;LUMINARIA;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1830691;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1830692;;P42;POSTE APOYO DE MEDIDOR;6;Cliente AÇreo;54;MAL ESTADO;
B1830693;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830695;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830696;;D02;DOMICILIO;6;Cliente AÇreo;2;NO SE UBICA;
B1830697;;P25;PROTECC EMP. 220V;7;Cliente Subterr†neo;69;OTRA FALLA;
B1830698;;L04;LINEA APOYADA OTRA EMPR.;9;Otra Empresa;16;CORTADO-A;
B1830700;;L07;LINEA DIST. CONC 1F;4;Red BT AÇrea;19;CONEXI‡N FUNDIDA;
B1830701;NUMPOS: 4150;P16;POSTE DISTRIBUCION;3;Transformador MT/BT;11;CHOCADO;
B1830702;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830704;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830705;;A01;ACOMETIDA;6;Cliente AÇreo;26;DESTEMPLADO;
B1830707;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830708;NUMPOS: 14991;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;12;CON RAMAS;
B1830709;NUMPOS: 3329;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;12;CON RAMAS;
B1830710;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1830711;;P16;POSTE DISTRIBUCION;1;Red MT AÇrea;85;REVISION;
B1830712;;D02;DOMICILIO;7;Cliente Subterr†neo;1;CERRADO;
B1830713;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830714;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830715;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830717;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830718;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830719;;B08;BLOCK DE CONEX  (220V);6;Cliente AÇreo;43;FUNDIDO-A;
B1830720;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830721;NUMPOS: 88889;P16;POSTE DISTRIBUCION;4;Red BT AÇrea;11;CHOCADO;
B1830722;;D02;DOMICILIO;7;Cliente Subterr†neo;85;REVISION;
B1830723;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
B1830724;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830727;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830728;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;25;DESPRENDIDO;
B1830729;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
B1830730;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;69;OTRA FALLA;
B1830731;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1830732;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830733;;A11;ALDUTTI;1;Red MT AÇrea;69;OTRA FALLA;
B1830735;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830736;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830737;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830738;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830739;;F01;FASE;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830740;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830742;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830743;NUMPOS: 77790;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1830744;;L04;LINEA APOYADA OTRA EMPR.;9;Otra Empresa;12;CON RAMAS;
B1830745;;L04;LINEA APOYADA OTRA EMPR.;9;Otra Empresa;16;CORTADO-A;
B1830746;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1830747;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830748;;P50;PROTECC. ARRANQUE MT;1;Red MT AÇrea;61;NO NORMALIZADO;
B1830749;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830750;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830751;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1830752;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830753;;P16;POSTE DISTRIBUCION;1;Red MT AÇrea;37;EN ATENCION;
B1830754;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830755;;T01;TABLERO CLTE.;7;Cliente Subterr†neo;15;CONEXI‡N SUELTA;
B1830756;;D02;DOMICILIO;7;Cliente Subterr†neo;45;FALLA EN INSTALACION CLIENTE;
B1830757;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830758;;L02;LINEA DE DISTRIBUCION;9;Otra Empresa;26;DESTEMPLADO;
B1830759;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830760;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830761;Acometida: PJ HONK KONG 7430 / PUDAHUEL;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830762;;T01;TABLERO CLTE.;6;Cliente AÇreo;43;FUNDIDO-A;
B1830763;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830765;;U02;UNION DESARMABLE MT;2;Red MT Subterr†nea;37;EN ATENCION;
B1830766;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830771;;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;85;REVISION;
B1830772;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830775;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830776;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;54;MAL ESTADO;
B1830777;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830778;;R03;RECONECTADOR;1;Red MT AÇrea;29;DESCONECTADO;
B1830779;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830780;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830781;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830782;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830783;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830784;NUMPOS: 77859;N01;NEUTRO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830785;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830787;;P10;PLACA LOZA 25 AMP.;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830788;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830789;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1830790;;A01;ACOMETIDA;6;Cliente AÇreo;26;DESTEMPLADO;
B1830791;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830792;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1830793;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830794;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
B1830795;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830796;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830797;;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;85;REVISION;
B1830798;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830799;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830800;;P29;PROTECC T/D EN BT;3;Transformador MT/BT;69;OTRA FALLA;
B1830804;;R03;RECONECTADOR;1;Red MT AÇrea;66;NORMALIZACION;
B1830805;;E03;EXTENSION METALICA DE EMPALME;6;Cliente AÇreo;25;DESPRENDIDO;
B1830806;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830808;;P25;PROTECC EMP. 220V;7;Cliente Subterr†neo;69;OTRA FALLA;
B1830809;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
